RANK,PLAYER,NICKNAME,TEAM,AIR+RUSH+REC YARDS,METRIC SCORE,YDS PER TOUCH ,METRIC SCORE,AVG. AIR YDS,METRIC SCORE,TOTAL TDS,METRIC SCORE,TD %,METRIC SCORE,TURNOVER FREE TOUCH %,METRIC SCORE,COMPLETION %,METRIC SCORE,TOTAL 1ST DOWNS,METRIC SCORE,TOTAL PERFORMANCE SCORE,EFFICIENCY SCORE
30,C.J. BEATHARD   ,N/A,SAN FRANCISCO 49ER'S,479,14.49,4.35,66.21,6.8,72.09,6,11.76,5.8,63.74,97.3,75.56,63.5,68.28,43,16.1,48.53,69.18
31,MARCUS MARIOTA   ,FLYIN' HAWAIIAN,LAS VEGAS RAIDERS,238,7.2,6.43,100,8.8,100,2,3.92,3.6,39.56,97.3,75.56,60.7,55.95,9,3.37,48.19,74.21
32,GARRETT GILBERT  ,N/A,DALLAS COWBOYS,219,6.63,5.34,100,9.1,125.58,1,1.96,2.6,28.57,97.6,82.22,55.3,32.16,12,4.49,47.7,73.71
33,CARSON WENTZ,RED DEAD ON ARRIVAL,PHILADELPHIA EAGLES,1896,57.37,3.88,50.17,6.5,65.12,21,41.18,3.7,40.66,94.9,22.22,57.4,41.41,155,58.05,47.02,43.92
34,ANDY DALTON ,THE RED RIFLE,DALLAS COWBOYS,1233,37.31,3.41,34.13,5.2,34.88,14,27.45,4.2,46.15,97.2,73.33,64.9,74.45,127,47.57,46.91,52.59
35,JEFF DRISKEL ,N/A,DENVER BRONCOS,329,9.95,4.7,78.16,8.6,113.95,3,5.88,4.7,51.65,97.1,72,54.7,29.52,21,7.87,46.12,69.05
36,DREW LOCK  ,BUZZ LIGHTYEAR,DENVER BRONCOS,1690,51.13,3.78,46.76,6,53.49,19,37.25,3.6,39.56,95.3,31.11,57.3,40.97,158,59.18,44.93,42.38
37,NICK FOLES  ,BIG NICK ENERGY,CHICAGO BEARS ,1152,34.86,3.51,37.54,5.7,46.51,11,21.57,3.2,35.16,97.2,73.33,64.7,73.57,95,35.58,44.77,53.22
38,KYLE ALLEN   ,N/A,WASHINGTON,325,9.83,3.46,35.84,5,30.23,5,9.8,4.6,50.55,97.9,88.89,69,92.51,33,12.36,41.25,59.6
39,NICK MULLINS   ,N/A,SAN FRANCISCO 49ER'S,1206,36.49,3.6,40.61,5.7,46.51,12,23.53,3.7,40.66,94.6,15.56,64.7,73.57,121,45.32,40.28,43.38
40,JOE FLACCO  ,UH OH JOE,NEW YORK JETS,541,16.37,3.86,49.49,7,76.74,6,11.76,4.5,49.45,97.1,71.11,55.2,31.72,39,14.61,40.16,55.7
41,MIKE GLENNON  ,N/A,JACKSONVILLE JAGUARS,684,20.7,3.7,44.03,6,53.49,7,13.73,3.9,42.86,96.2,51.11,62,61.67,59,22.1,38.71,50.63
42,MASON RUDOLPH  ,REINDEER,PITTSBURGH STEELERS,216,6.54,4.32,65.19,5.2,34.88,2,3.92,4.7,51.65,98,91.11,58.1,44.49,13,4.87,37.83,57.46
43,SAM DARNOLD,SAM MONO-OLD,NEW YORK JETS,1285,38.88,3.2,26.96,4.9,27.91,11,21.57,2.5,27.47,96.3,53.33,59.6,51.1,122,45.69,36.61,37.36
44,TYROD TAYLOR ,T-MOBILE,LOS ANGELES CHARGERS,135,4.08,3.75,45.73,8,100,0,0,0,0,98.4,100,53.3,23.35,11,4.12,34.66,53.82
45,PHILLIP WALKER  ,N/A,CAROLINA PANTHERS,225,6.81,3.69,43.69,7.1,79.07,1,1.96,1.8,19.78,96.7,62.22,57.1,40.09,17,6.37,32.5,48.97
46,COLT MCCOY ,THE COLT,NEW YORK GIANTS,260,7.87,3.47,36.18,6.2,58.14,1,1.96,1.5,16.48,97.3,75.56,60.6,55.51,19,7.12,32.35,48.37
47,JIMMY GAROPPOLO  ,JIMMY G,SAN FRANCISCO 49ER'S,407,12.31,2.71,10.24,4.1,9.3,7,13.73,5,54.95,95.3,31.11,67.1,84.14,58,21.72,29.69,37.95
48,CHASE DANIEL ,N/A,DETROIT LIONS,161,4.87,3.58,39.93,5,30.23,1,1.96,2.3,25.27,95.6,37.78,67.4,85.46,15,5.62,28.89,43.74
49,BRANDON ALLEN  ,N/A,CINCINNATI BENGALS,395,11.95,2.55,4.78,4.1,9.3,5,9.8,3.5,38.46,96.8,64.44,63.4,67.84,47,17.6,28.02,36.97
50,BRETT RYPIEN  ,N/A,DENVER BRONCOS,208,6.29,4.73,79.18,7.9,97.67,2,3.92,5,54.95,88.9,-111.11,67.5,85.9,12,4.49,27.66,41.32
51,JALEN HURTS ,N/A,PHILADELPHIA EAGLES,993,30.05,4.68,77.47,4,6.98,9,17.65,4.1,45.05,93.9,0,52,17.62,70,26.22,27.63,29.43
52,ALEX SMITH ,MILLION DOLLAR MAN,WASHINGTON,632,19.12,2.41,0,3.7,0,6,11.76,2.4,26.37,96.2,51.11,66.7,82.38,74,27.72,27.31,31.97
53,JOHN WOLFORD,N/A,LOS ANGELES RAMS,194,5.87,4.41,68.26,3.6,-2.33,0,0,0,0,97.7,84.44,57.9,43.61,16,5.99,25.73,38.8
54,RYAN FINLEY ,N/A,CINCINNATI BENGALS,159,4.81,3.7,44.03,5.5,41.86,2,3.92,3.1,34.07,95.4,33.33,53.1,22.47,12,4.49,23.62,35.15
55,DWAYNE HASKINS  ,N/A,WASHINGTON,621,18.79,2.58,5.8,3.9,4.65,6,11.76,2.1,23.08,95,24.44,61.4,59.03,79,29.59,22.14,23.4
56,JAKE LUTON  ,N/A,JACKSONVILLE JAGUARS,359,10.86,3.23,27.99,5.8,48.84,3,5.88,1.8,19.78,92.8,-24.44,54.5,28.63,32,11.99,16.19,20.16
57,CHAD HENNE   ,HENNETHING IS POSSIBLE,KANSAS CITY CHIEFS,46,1.39,1.02,-47.44,1.7,-46.51,3,5.88,5.3,58.24,95.6,37.78,73.7,100,16,5.99,14.42,20.41
58,BRIAN HOYER ,N/A,NEW ENGLAND PATRIOTS,82,2.48,3.36,32.42,4.9,27.91,0,0,0,0,92,-42.22,62.5,63.88,9,3.37,10.98,16.4
59,JARRETT STIDHAM   ,NOT JASON STATHAM,NEW ENGLAND PATRIOTS,83,2.51,1.63,-26.62,1.7,-46.51,2,3.92,4.5,49.45,94.1,4.44,50,8.81,15,5.62,0.2,-2.09
60,BEN DINUCCI ,N/A,DALLAS COWBOYS,107,3.24,2.18,-7.85,3.7,0,0,0,0,0,91.8,-46.67,53.5,24.23,13,4.87,-2.77,-6.06
61,ROBERT GRIFFIN III ,RG3,BALTIMORE RAVENS,77,2.33,2.96,18.77,1,-62.79,0,0,0,0,88.5,-120,57.1,40.09,5,1.87,-14.97,-24.79
