,2019-2020,,,,,"3,2,1 Weighted Average Per Category for past 3 seasons played",,,,,,,,,,,,,,
29,Luca Lewis (19) New York Red Bulls II,2,5.88,3.5,-0.67,60,39.74,0,0,0,-44.44,0,-249.34,0,-180.67,-61.36,-55.22,,,
30,Justin Vom Steeg (23) LA Galaxy II,13,38.24,1.98,0.35,58.3,34.11,0,0,0,-44.44,0,-249.34,0,-180.67,-57.4,-57.4,,,
31,CJ dos Santos (20) Benfica B,0,0,2.5,0,0,-158.94,0,0,0,-44.44,0,-249.34,0,-180.67,-90.49,-81.44,,,
32,Ethan Wady (18) Dartford (Loan from Chelsea),0,0,2.5,0,0,-158.94,0,0,0,-44.44,0,-249.34,0,-180.67,-90.49,-81.44,,,
33,Chituru Odunze (18) Leicester U18,0,0,2.5,0,0,-158.94,0,0,0,-44.44,0,-249.34,0,-180.67,-90.49,-81.44,,,
34,Damian Las (18) Fulham U18,0,0,2.5,0,0,-158.94,0,0,0,-44.44,0,-249.34,0,-180.67,-90.49,-81.44,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,2017-2018,mult by 1,,,,,,,,,,,Q striaght average of all scores in row then divided by average columns,,,,
,,,,2018-2019,by 2,,,,,,,,,,,,,,,
,,,,2019-2020,by 3,,,,,,,,,,,,,,,
,,,,then divid by 6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,C through O,,,,,,,,,,,,,,,,
